timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808620.124,4.395,-19.531,-15.137,-30.273,0.000
1627808620.128,20.020,-23.926,-9.766,5.371,0.000
1627808620.132,-27.832,-30.762,-11.230,-32.715,0.000
1627808620.136,-50.781,-28.809,-16.602,-71.289,0.000
1627808620.140,-10.742,-30.273,-13.672,-35.156,0.000
1627808620.144,10.254,-23.926,-11.719,10.742,0.000
1627808620.148,-27.344,-23.438,-5.859,-6.836,0.000
1627808620.152,-67.383,-28.809,-4.395,-49.316,0.000
1627808620.156,-42.480,-20.996,-5.371,-36.621,0.000
1627808620.160,2.441,-22.461,-1.953,11.230,0.000
1627808620.164,-18.066,-30.762,-7.324,2.930,0.000
1627808620.167,-60.059,-31.250,-14.160,-45.898,0.000
1627808620.171,-43.457,-26.855,-11.230,-53.223,0.000
1627808620.175,5.371,-21.973,-6.836,-9.766,0.000
1627808620.179,0.000,-22.949,-11.719,3.418,0.000
1627808620.183,-53.223,-26.855,-16.113,-46.387,0.000
1627808620.187,-59.570,-25.391,-12.695,-65.918,0.000
1627808620.191,-10.254,-15.625,-11.230,-20.508,0.000
1627808620.195,3.906,4.883,-14.648,7.812,0.000
1627808620.199,-33.691,-16.113,-12.207,-23.438,0.000
1627808620.203,-54.688,-26.367,-8.789,-62.500,0.000
1627808620.206,-10.742,-11.719,-4.395,-33.203,0.000
1627808620.210,23.926,-7.812,-0.488,13.184,0.000
1627808620.214,-20.996,-16.113,-4.883,-8.789,0.000
1627808620.218,-61.523,-24.414,-10.254,-57.129,0.000
1627808620.222,-36.621,-20.996,-7.812,-49.316,0.000
1627808620.226,-0.488,-20.020,-5.859,1.465,0.000
1627808620.230,-20.508,-23.438,-8.301,3.906,0.000
1627808620.234,-67.871,-22.461,-9.766,-45.410,0.000
1627808620.238,-66.406,-21.484,-9.277,-61.523,0.000
1627808620.242,-19.531,-25.391,-4.883,-15.625,0.000
1627808620.246,-13.184,-22.949,-3.418,8.301,0.000
1627808620.249,-62.500,-20.508,-7.324,-32.715,0.000
1627808620.253,-81.055,-24.902,-3.906,-64.453,0.000
1627808620.257,-36.621,-18.555,0.488,-28.809,0.000
1627808620.261,-15.625,-15.137,-1.953,7.812,0.000
1627808620.265,-61.035,-18.066,-7.812,-23.926,0.000
1627808620.269,-86.426,-25.879,-10.254,-65.918,0.000
1627808620.273,-54.199,-16.602,-8.789,-43.945,0.000
1627808620.277,-17.090,-19.531,-6.836,3.906,0.000
1627808620.281,-36.133,-25.391,-8.789,-6.836,0.000
1627808620.285,-83.008,-22.949,-14.648,-61.523,0.000
1627808620.289,-67.383,-27.344,-9.766,-62.012,0.000
1627808620.292,-17.090,-23.438,-3.906,-10.254,0.000
1627808620.296,-26.367,-18.066,-3.906,-2.441,0.000
1627808620.300,-73.730,-20.508,-3.906,-51.758,0.000
1627808620.304,-68.848,-21.484,-5.859,-72.266,0.000
1627808620.308,-17.090,-19.531,-5.859,-24.902,0.000
1627808620.312,-5.859,-20.020,-2.930,2.930,0.000
1627808620.316,-52.246,-23.438,-6.836,-38.086,0.000
1627808620.320,-75.195,-27.832,-9.766,-73.730,0.000
1627808620.324,-31.738,-26.367,-11.719,-43.457,0.000
1627808620.328,-4.395,-19.043,-9.766,0.000,0.000
1627808620.331,-43.945,-18.555,-4.883,-26.855,0.000
1627808620.335,-78.125,-25.879,-12.207,-82.031,0.000
1627808620.339,-45.898,-18.555,-17.090,-63.965,0.000
1627808620.343,-10.254,-1.953,-18.066,-14.160,0.000
1627808620.347,-32.227,-21.484,-16.113,-19.531,0.000
1627808620.351,-66.406,-29.785,-15.137,-67.871,0.000
1627808620.355,-49.805,-21.484,-17.578,-75.195,0.000
1627808620.359,-3.906,-20.996,-17.090,-25.879,0.000
1627808620.363,-9.766,-22.949,-15.137,-13.672,0.000
1627808620.367,-56.641,-27.344,-14.160,-60.547,0.000
1627808620.371,-62.012,-21.484,-14.160,-80.078,0.000
1627808620.374,-14.160,-14.160,-13.672,-34.668,0.000
1627808620.378,4.395,-10.742,-10.742,1.465,0.000
1627808620.382,-39.551,-10.254,-11.719,-34.180,0.000
1627808620.386,-61.523,-13.184,-15.137,-75.195,0.000
1627808620.390,-12.695,-12.695,-10.254,-40.527,0.000
1627808620.394,20.996,-6.348,-5.859,10.742,0.000
1627808620.398,-16.113,-7.324,-6.348,-11.719,0.000
1627808620.402,-55.664,-10.742,-10.742,-62.988,0.000
1627808620.406,-30.273,-12.207,-11.719,-52.246,0.000
1627808620.410,6.836,-14.160,-8.789,-8.789,0.000
1627808620.414,-21.973,-11.230,-14.160,-22.949,0.000
1627808620.417,-63.477,-20.996,-16.113,-66.895,0.000
1627808620.421,-55.664,-14.648,-18.066,-66.406,0.000
1627808620.425,-7.324,-3.418,-16.113,-19.043,0.000
