timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808098.554,-7.812,-12.695,-14.160,-3.418,0.000
1627808098.558,5.859,-14.648,-16.602,20.020,0.000
1627808098.562,-26.855,-16.602,-17.090,-19.043,0.000
1627808098.566,-43.457,-21.484,-20.996,-55.176,0.000
1627808098.570,-6.836,-16.113,-15.625,-23.926,0.000
1627808098.573,18.066,-9.766,-10.742,17.578,0.000
1627808098.577,-5.371,-14.648,-15.625,-10.254,0.000
1627808098.581,-35.156,-23.438,-23.438,-60.059,0.000
1627808098.585,-18.555,-22.949,-21.973,-39.062,0.000
1627808098.589,15.137,-16.602,-18.555,11.719,0.000
1627808098.593,-0.488,-17.090,-19.043,4.395,0.000
1627808098.597,-39.551,-20.508,-17.578,-36.621,0.000
1627808098.601,-37.109,-20.020,-17.578,-35.156,0.000
1627808098.605,-8.789,-24.902,-17.578,5.371,0.000
1627808098.609,-20.996,-33.691,-19.531,12.695,0.000
1627808098.613,-57.617,-40.039,-23.926,-27.832,0.000
1627808098.616,-64.453,-33.691,-23.926,-42.969,0.000
1627808098.620,-32.715,-23.926,-22.949,-7.812,0.000
1627808098.624,-14.160,-21.484,-18.555,11.719,0.000
1627808098.628,-46.387,-30.762,-20.508,-26.367,0.000
1627808098.632,-68.359,-37.109,-25.879,-65.918,0.000
1627808098.636,-33.691,-32.715,-17.090,-32.715,0.000
1627808098.640,3.906,-24.414,-11.719,11.719,0.000
1627808098.644,-24.902,-21.484,-20.508,-21.973,0.000
1627808098.648,-62.988,-23.438,-29.297,-67.383,0.000
1627808098.652,-45.410,-20.996,-27.344,-54.199,0.000
1627808098.656,-9.277,-13.672,-27.344,-12.207,0.000
1627808098.659,-20.020,-22.949,-31.250,-13.672,0.000
1627808098.663,-55.176,-29.785,-29.297,-62.012,0.000
1627808098.667,-50.781,-28.320,-29.785,-68.359,0.000
1627808098.671,-12.695,-25.879,-26.855,-21.484,0.000
1627808098.675,-1.953,-19.043,-24.414,-3.418,0.000
1627808098.679,-30.273,-19.043,-22.949,-35.156,0.000
1627808098.683,-49.316,-22.461,-22.461,-63.965,0.000
1627808098.687,-17.578,-18.066,-25.391,-29.297,0.000
1627808098.691,3.906,-18.066,-22.949,2.930,0.000
1627808098.695,-28.809,-20.996,-24.902,-28.809,0.000
1627808098.698,-53.711,-23.926,-28.809,-67.383,0.000
1627808098.702,-15.137,-24.902,-24.902,-40.527,0.000
1627808098.706,22.949,-17.578,-21.484,6.348,0.000
1627808098.710,-1.465,-17.090,-22.949,-12.207,0.000
1627808098.714,-41.016,-20.996,-22.949,-58.105,0.000
1627808098.718,-23.926,-16.602,-18.555,-43.457,0.000
1627808098.722,13.184,-9.766,-17.578,4.395,0.000
1627808098.726,0.977,-13.184,-17.090,0.977,0.000
1627808098.730,-35.645,-17.578,-20.996,-44.922,0.000
1627808098.734,-41.992,-18.555,-23.438,-55.176,0.000
1627808098.738,-8.789,-17.090,-20.996,-11.719,0.000
1627808098.741,5.859,-15.137,-17.578,8.789,0.000
1627808098.745,-22.461,-17.090,-22.461,-26.855,0.000
1627808098.749,-44.434,-18.066,-26.367,-56.641,0.000
1627808098.753,-23.438,-20.508,-21.484,-24.414,0.000
1627808098.757,0.000,-16.602,-21.973,10.742,0.000
1627808098.761,-20.508,-15.625,-24.902,-19.043,0.000
1627808098.765,-48.340,-22.949,-26.855,-61.035,0.000
1627808098.769,-29.297,-25.391,-23.926,-41.504,0.000
1627808098.773,5.859,-19.531,-14.648,9.277,0.000
1627808098.777,-11.719,-22.461,-17.578,-0.488,0.000
1627808098.781,-46.875,-23.438,-24.414,-48.828,0.000
1627808098.784,-32.715,-19.531,-22.461,-40.039,0.000
1627808098.788,3.906,-13.672,-17.578,14.648,0.000
1627808098.792,3.418,-12.207,-13.184,27.832,0.000
1627808098.796,-26.855,-17.090,-17.578,-13.672,0.000
1627808098.800,-35.156,-17.578,-27.832,-38.086,0.000
1627808098.804,-9.277,-19.043,-22.461,-10.254,0.000
1627808098.808,0.000,-14.648,-17.578,7.812,0.000
1627808098.812,-27.344,-14.648,-24.414,-31.738,0.000
1627808098.816,-42.480,-14.160,-27.832,-58.594,0.000
1627808098.820,-20.020,-8.789,-26.367,-26.855,0.000
1627808098.823,3.418,-7.324,-23.926,3.418,0.000
1627808098.827,-16.113,-6.348,-21.484,-18.555,0.000
1627808098.831,-43.457,-7.812,-24.902,-53.711,0.000
1627808098.835,-26.855,-3.418,-25.879,-34.180,0.000
